trade_month,Trades,Wins,Losses,Win_Rate,Gross_Profit,Gross_Loss,Net_Profit,Average_PnL,Ending_Balance
2025-02,5,2,3,40.0,392.0,297.01,94.99000000000001,18.998,10094.99
2025-03,20,6,14,30.0,1237.46,1456.0399999999997,-218.58000000000004,-10.929000000000002,9876.42
2025-04,19,8,11,42.10526315789473,1623.12,1138.8600000000001,484.25999999999976,25.48736842105262,10360.68
2025-05,19,7,12,36.84210526315789,1420.54,1232.2,188.33999999999997,9.912631578947368,10549.01
2025-06,20,7,13,35.0,1477.84,1393.49,84.35,4.217499999999999,10633.36
2025-07,19,7,12,36.84210526315789,1474.7499999999998,1281.43,193.31999999999994,10.17473684210526,10826.65
2025-08,19,6,13,31.57894736842105,1268.18,1395.59,-127.41000000000005,-6.705789473684213,10699.23
2025-09,18,6,12,33.33333333333333,1255.5,1274.58,-19.080000000000013,-1.0600000000000007,10680.12
2025-10,22,8,14,36.36363636363637,1702.87,1511.97,190.89999999999998,8.677272727272726,10871.01
2025-11,19,8,11,42.10526315789473,1773.43,1240.41,533.0199999999998,28.053684210526303,11404.04
2025-12,19,6,13,31.57894736842105,1377.02,1511.23,-134.20999999999995,-7.063684210526313,11269.82
2026-01,14,6,8,42.857142857142854,1369.67,928.32,441.3499999999999,31.524999999999995,11711.15
2026-02,10,4,5,40.0,924.88,701.3299999999999,223.54999999999995,22.354999999999997,11934.7
