trade_id,entry_time_utc,entry_time_london,trade_type,entry_price,stop_loss,take_profit,risk,exit_time,exit_price,exit_reason,result,pnl,pnl_pips,balance_before,balance_after,entry_index,risk_amount,r_multiple,equity,equity_peak,drawdown,drawdown_pct,holding_hours,holding_days,trade_month
1,2025-02-21 08:00:00+00:00,2025-02-21 08:00:00+00:00,SELL,1.047675,1.0507549999999999,1.041515,0.0030799999999999716,2025-02-24 01:00:00+00:00,1.0507549999999999,Stop Loss,LOSS,-100.0,-30.8,10000,9900.0,14,100.0,-1,9900.0,9900.0,0.0,0.0,65.0,2.7083333333333335,2025-02
2,2025-02-24 14:00:00+00:00,2025-02-24 14:00:00+00:00,SELL,1.046055,1.04875,1.0406649999999997,0.002695000000000114,2025-02-25 11:00:00+00:00,1.04875,Stop Loss,LOSS,-99.0,-27.0,9900.0,9801.0,44,99.0,-1,9801.0,9900.0,-99.0,-1.0,21.0,0.875,2025-02
3,2025-02-25 11:00:00+00:00,2025-02-25 11:00:00+00:00,BUY,1.04894,1.04577,1.0552799999999998,0.003169999999999895,2025-02-27 13:00:00+00:00,1.04577,Stop Loss,LOSS,-98.01,-31.7,9801.0,9702.99,65,98.01,-1,9702.99,9900.0,-197.01000000000022,-1.9900000000000022,50.0,2.0833333333333335,2025-02
4,2025-02-26 12:00:00+00:00,2025-02-26 12:00:00+00:00,SELL,1.04767,1.05258,1.0378500000000002,0.00490999999999997,2025-02-28 18:00:00+00:00,1.0378500000000002,Take Profit,WIN,194.06,98.2,9702.99,9897.05,90,97.03,2,9897.05,9900.0,-2.9500000000007276,-0.02979797979798715,54.0,2.25,2025-02
5,2025-02-27 08:00:00+00:00,2025-02-27 08:00:00+00:00,SELL,1.04785,1.05264,1.0382699999999998,0.004790000000000072,2025-02-28 02:00:00+00:00,1.0382699999999998,Take Profit,WIN,197.94,95.8,9897.05,10094.99,110,98.97,2,10094.99,10094.99,0.0,0.0,18.0,0.75,2025-02
6,2025-03-03 09:00:00+00:00,2025-03-03 09:00:00+00:00,BUY,1.0427149999999998,1.039695,1.0487549999999994,0.0030199999999998006,2025-03-03 14:00:00+00:00,1.0487549999999994,Take Profit,WIN,201.9,60.4,10094.99,10296.89,159,100.95,2,10296.89,10296.89,0.0,0.0,5.0,0.20833333333333334,2025-03
7,2025-03-04 08:00:00+00:00,2025-03-04 08:00:00+00:00,BUY,1.051905,1.0464149999999999,1.0628850000000005,0.005490000000000217,2025-03-04 23:00:00+00:00,1.0628850000000005,Take Profit,WIN,205.94,109.8,10296.89,10502.83,182,102.97,2,10502.83,10502.83,0.0,0.0,15.0,0.625,2025-03
8,2025-03-05 08:00:00+00:00,2025-03-05 08:00:00+00:00,BUY,1.069795,1.049585,1.1102150000000002,0.02021000000000006,2025-04-03 10:00:00+00:00,1.1102150000000002,Take Profit,WIN,210.06,404.2,10502.83,10712.88,206,105.03,2,10712.88,10712.88,0.0,0.0,698.0,29.083333333333332,2025-03
9,2025-03-06 08:00:00+00:00,2025-03-06 08:00:00+00:00,BUY,1.0801349999999998,1.0738400000000001,1.0927249999999993,0.0062949999999997175,2025-03-11 13:00:00+00:00,1.0927249999999993,Take Profit,WIN,214.26,125.9,10712.88,10927.14,230,107.13,2,10927.14,10927.14,0.0,0.0,125.0,5.208333333333333,2025-03
10,2025-03-07 09:00:00+00:00,2025-03-07 09:00:00+00:00,BUY,1.08614,1.0763,1.1058200000000002,0.009840000000000071,2025-03-26 17:00:00+00:00,1.0763,Stop Loss,LOSS,-109.27,-98.4,10927.14,10817.87,255,109.27,-1,10817.87,10927.14,-109.26999999999862,-0.9999871878643325,464.0,19.333333333333332,2025-03
11,2025-03-10 08:00:00+00:00,2025-03-10 08:00:00+00:00,SELL,1.08101,1.086725,1.0695800000000002,0.005714999999999915,2025-03-10 10:00:00+00:00,1.086725,Stop Loss,LOSS,-108.18,-57.1,10817.87,10709.69,279,108.18,-1,10709.69,10927.14,-217.4499999999989,-1.9899992129687998,2.0,0.08333333333333333,2025-03
12,2025-03-11 08:00:00+00:00,2025-03-11 08:00:00+00:00,BUY,1.09172,1.08156,1.11204,0.010159999999999947,2025-03-20 13:00:00+00:00,1.08156,Stop Loss,LOSS,-107.1,-101.6,10709.69,10602.6,303,107.1,-1,10602.6,10927.14,-324.53999999999905,-2.9700360753133856,221.0,9.208333333333334,2025-03
